SOC,V,I,T
56.86276245,359.875,2.700000048,7
56.86276245,359.875,-1.350000024,7
56.86276245,359.875,-1.350000024,7
56.86276245,359.875,-1.350000024,7
56.86276245,359.875,-1.350000024,7
56.86276245,359.875,-3.050000071,7
56.86276245,359.875,-3.846000089,7
56.86276245,359.875,-3.75600008,7
56.86276245,359.875,-3.666000071,7
56.86276245,359.875,-3.576000061,7
56.86276245,359.875,-3.486000052,7
56.86276245,359.875,-3.450000048,7
56.86276245,359.875,-3.450000048,7
56.86276245,359.725,-3.330000067,7
56.86276245,359.4940476,-3.164285807,7
56.86276245,359.4345238,-3.307142928,7
56.86276245,359.375,-3.450000048,7
56.86276245,359.375,-3,7
56.86276245,359.4886364,-2.863636494,7
56.86276245,359.5,-2.985000014,7
56.86276245,359.5,-1.527272767,7
56.86276245,359.3,-4.560000086,7
56.86276245,358.95,-10.68000002,7
56.86276245,358.6022727,-14.18181887,7
56.86276245,358.2375,-18.46500082,7
56.86276245,358.125,-18.32727398,7
56.86276245,358.65,-10.38000078,7
56.86276245,359.15,-4.620000171,7
56.86276245,359.0454545,-5.29090929,7
56.86276245,358.875,-6.450000286,7
56.86276245,359.1590909,-2.086363749,7
56.86276245,359.4,1.350000047,7
56.86276245,359.25,-1.350000024,7
56.86276245,359.125,-3.2400002,7
56.86276245,359.3522727,0.818181807,7
56.86276245,359.6375,4.500000095,7
56.86276245,359.4431818,2.60454555,7
56.86276245,359.65,3.690000152,7
56.86276245,359.7,4.770000308,7
56.86276245,359.3636364,-0.995454617,7
56.86276245,358.675,-8.700000429,7
56.86276245,357.9772727,-19.58181832,7
56.86276245,357.75,-20.40000153,7
56.86276245,357.625,-21.90000153,7
56.86276245,357,-30.75000191,7
56.86276245,356.0909091,-41.52272953,7
56.86276245,354.2,-68.52000161,7
56.86276245,353.2840909,-78.27273005,7
56.86276245,354.025,-65.64000244,7
56.86276245,354.35,-59.22000351,7
56.86276245,354.375,-57.40909472,7
56.86276245,354.375,-57.52500381,7
56.86276245,354.375,-57.75000381,7
56.86276245,357.35,-12.96000085,7
56.86276245,357.85,-5.940000343,7
56.86276245,358.2272727,-0.954545671,7
56.86276245,358.8125,6.075000048,7
56.86276245,358.7727273,5.195454597,7
56.86276245,358.35,-0.810000038,7
56.86276245,357.725,-10.56000051,7
56.86276245,356.9886364,-20.15454674,7
56.86276245,356.7232143,-23.40000153,7
56.86276245,356.6339286,-23.40000153,7
56.86276245,356.5524194,-24.53225948,7
56.86276245,356.4717742,-25.79032387,7
56.86276245,356.391129,-27.04838826,7
56.86276245,356.475,-25.26000176,7
56.86276245,356.5,-24.53181926,7
56.86276245,356.5875,-23.92500076,7
56.86276245,356.5375,-23.80500049,7
56.86276245,356.0416667,-30.05000051,7
56.86276245,355.3869048,-38.90714354,7
56.86276245,355.275,-39.4800003,7
56.86276245,355.075,-40.74000092,7
56.86276245,354.4659091,-47.7272755,7
56.86276245,354.125,-51.75000381,7
56.86276245,352.4886364,-74.86363845,7
56.86276245,351.325,-90.30000459,7
56.86276245,350.1,-105.0600052,7
56.86276245,349.1363636,-116.7681885,7
56.86276245,349.0625,-115.4550072,7
56.86276245,351.0227273,-84.90000464,7
56.86276245,352.9,-57.30000076,7
56.86276245,353.525,-47.88000107,7
56.86276245,353.6477273,-47.94545642,7
56.86276245,353.75,-45,7
56.86276245,353.625,-45.08181832,7
56.86276245,353.625,-45.90000153,7
56.86276245,357.25,5.700000286,7
56.86276245,357.125,4.5,7
56.86276245,354.7386364,-30.13636572,7
56.86276245,353.0375,-54.25500297,7
56.86276245,352.5681818,-60.96818299,7
56.86276245,352.7,-57.3900032,7
56.86276245,352.8409091,-54.17727488,7
56.86276245,352.875,-53.40000153,7
56.86276245,353.4886364,-43.05000305,7
56.86276245,353.55,-43.02000122,7
56.86276245,351.925,-66.6,7
56.86276245,351.8977273,-64.47272769,7
56.86276245,353.3125,-43.12500191,7
56.86276245,354.1022727,-31.80000218,7
56.86276245,354.325,-28.92000084,7
56.86276245,353.85,-35.97000084,7
56.86276245,353.6136364,-38.15454657,7
56.86276245,354.25,-29.85000038,7
56.86276245,355.7272727,-6.818181991,7
56.86276245,354.225,-30.48000068,7
56.86276245,355.1,-16.41000061,7
56.86276245,354.9545455,-20.33181971,7
56.86276245,354.5625,-25.78500138,7
56.86276245,353.0795455,-44.59090909,7
56.86276245,355.125,-18,7
56.86276245,353.5,-39.45000076,7
56.86276245,353,-47.70000076,7
56.86276245,352.0909091,-59.5636399,7
56.86276245,352.5555556,-51.55000178,7
56.86276245,352.625,-49.54091124,7
56.86276245,352.525,-51.75000229,7
56.86276245,352.2,-56.07000351,7
56.86276245,353.6704545,-31.69091068,7
56.86276245,355.7375,-2.039999961,7
56.86276245,356.2954545,4.50000026,7
56.86276245,356.325,2.580000162,7
