File Name,Initial SOC,Final SOC,Average Speed,Final Accumulated Distance,Altitude Difference
Phil_DC_023_12degC,100.0000305,79.2157135,17.38392263,76158.96503,85.14076164
Phil_DC_026_11degC,97.25493622,73.72551727,18.28567588,80109.54605,83.40549844000002
Phil_DC_034_22degC,95.29415131,67.84316254,20.5203372,107895.933,96.99976251
Phil_DC_053_25degC,71.76473236,59.60786057,12.2023157,48614.02574,87.5506068
Phil_DC_089_14degC,100.0000305,67.45100403,18.05255884,105932.4153,84.80358025
Phil_DC_10_-1degC,100.0000305,66.2745285,23.13765978,92365.53785,80.32602295999999
Phil_DC_11_-3degC,99.21572113,49.803936,22.37359976,106565.4557,91.20002851999999
Phil_DC_12_-5degC,52.15687943,10.58823872,24.18042078,105910.243,92.17272224000001
Phil_DC_13_3degC,100.0000305,64.31374359,23.18810442,101587.0855,98.75596911
Phil_DC_14_-4degC,57.25492096,21.17647743,21.47785021,94094.46177,-84.25536464999999
Phil_DC_15_-5degC,88.23532104,47.05883789,23.21972127,101725.5989,96.42949116
Phil_DC_16_-1degC,100.0000305,60.39217758,22.97903051,100671.1327,101.50421476000001
Phil_DC_17_-7degC,55.68629074,14.11765194,22.78729895,99831.15671,-112.57053106000001
Phil_DC_18_-7degC,100.0000305,58.03923416,23.45379363,102751.0699,93.55262183
Phil_DC_19_4degC,100.0000305,60.78433228,23.66612526,103681.2948,99.29163353999999
Phil_DC_20_3degC,53.72550583,14.50980854,23.66529525,103677.6585,-109.90001611000001
Phil_DC_21_6degC,99.21572113,61.96080399,23.53421458,103103.3941,84.10358131999999
Phil_DC_22_7degC,60.39217758,23.92157555,23.11689254,101275.1062,-116.32042195999999
Phil_DC_24_-1degC,100.0000305,59.60786057,21.67602042,94962.64544,-105.33358092999998
Phil_DC_25_11degC,63.1372757,25.88236046,27.31395554,119662.4392,82.96463980000001
Phil_DC_27_16degC,100.0000305,72.94120026,19.65129558,83124.98031,74.63421195
Phil_DC_28_9degC,100.0000305,67.05883355,23.85182784,100917.0836,82.7178729
Phil_DC_29_20degC,100.0000305,71.76473236,23.21448607,98220.49055,105.83993115
Phil_DC_30_12degC,99.21572113,71.37257385,22.21638526,93997.52602,95.12994713
Phil_DC_31_17degC,100.0000305,70.19609833,23.59599704,99834.66346,98.99627495
Phil_DC_32_19degC,100.0000305,78.43139648,19.7230772,83448.33964,91.13857852
Phil_DC_33_18degC,40.00001144,22.74510574,17.88032364,75651.64931,95.16072122
Phil_DC_35_29degC,88.23532104,61.96080399,19.38790245,102019.1427,84.94529704000001
Phil_DC_36_21degC,100.0000305,73.33335876,20.38105077,107245.0891,96.63503510999999
Phil_DC_37_15degC,49.0196228,18.43137932,21.0911745,109737.3809,-98.41200897
Phil_DC_38_19degC,45.09805298,25.09804726,20.99471327,92712.6538,-83.97543788
Phil_DC_39_20degC,90.98042297,56.86276245,26.4834911,116977.5802,99.75453752
Phil_DC_40_27degC,100.0000305,78.03923798,19.84762587,87666.96348,71.1758064
Phil_DC_41_32degC,100.0000305,78.43139648,20.4550182,90349.81539,82.50951018999999
Phil_DC_42_25degC,53.72550583,31.76471519,21.14811552,93411.22623,-84.31431277000002
Phil_DC_43_26degC,100.0000305,74.50982666,23.28161509,102834.8938,101.94785199000002
Phil_DC_44_30degC,100.0000305,74.90198517,22.53741061,99547.74265,101.92412758
Phil_DC_45_27degC,95.29415131,69.01963043,22.47469392,98057.08956,95.00729138999999
Phil_DC_46_29degC,100.0000305,72.54904175,25.85195059,112817.9124,73.33096910000002
Phil_DC_47_28degC,67.84316254,40.39216995,23.58222847,102912.845,101.53458638000001
Phil_DC_48_23degC,53.33335114,25.09804726,23.13183769,100947.3397,-82.32933355
Phil_DC_49_27degC,98.82356262,73.72551727,22.98389814,100301.7315,102.29761860999999
Phil_DC_4_26degC,42.74511337,16.47059441,21.613993,105605.9698,-88.33609205
Phil_DC_50_29degC,100.0000305,78.43139648,19.65396076,85769.88474,81.26204772999999
Phil_DC_51_28degC,100.0000305,74.90198517,23.32181185,101776.3869,91.93221546999999
Phil_DC_52_27degC,100.0000305,73.33335876,23.39688378,102104.0008,89.62121469
Phil_DC_54_31degC,100.0000305,76.86277008,23.55126592,93851.79467,84.97326872000001
Phil_DC_55_28degC,99.60787201,72.94120026,24.22573251,96539.54407,95.91965657
Phil_DC_56_26degC,74.90198517,55.68629074,23.84209129,95010.73378,-121.55807394
Phil_DC_57_23degC,100.0000305,78.43139648,22.32365182,88959.75249,81.05725274000001
Phil_DC_58_17degC,62.74511719,49.803936,17.01150561,55950.84196,105.93145282
Phil_DC_59_19degC,49.41178131,28.62746048,23.93704679,78752.88395,-102.14524852
Phil_DC_5_23degC,99.60787201,72.15688324,21.09538362,103156.4259,101.33400363999999
Phil_DC_60_21degC,71.37257385,46.6666832,27.37675525,90069.52478,97.35286925000001
